Calendar_Year,ACARA_SML_ ID,Location_AGE_ID,School_AGE_ID,School_Name,Suburb,State,Postcode,School_Sector,School_Type,Campus_Type,Rolled_Reporting_Description,Year_Range,Geolocation,ICSEA,ICSEA_Percentile,Bottom_SEA_Quarter_(%),Lower_Middle_SEA Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Full_Time_Equivalent_Enrolments,Indigenous_Enrolments_(%),Language_Background_Other_Than_English-Yes_(%),Language_Background_Other_Than_English-No_(%),Language_Background_Other_Than_English-Not_Stated_(%),ratio
2022,45550,55527,15527,Viewbank College,Viewbank,VIC,3084,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1115,88,7,16,31,46,127,110.5,36,25.9,1470,692,778,1469.2,0,36,63,1,11.57480315
2022,45484,48980,8980,Wantirna College,Wantirna,VIC,3152,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1021,56,25,34,27,13,119,106.7,50,36.5,1438,696,742,1437.8,1,21,78,1,12.08403361
2022,45486,48263,8263,Warrandyte High School,Warrandyte,VIC,3113,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1038,64,22,32,26,20,37,29.9,19,14.5,334,146,188,332.7,0,12,78,10,9.027027027
2022,46053,42485,2485,Loyola College,Watsonia,VIC,3087,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1050,69,15,34,33,18,112,107.2,69,56.2,1405,706,699,1405,0,8,92,0,12.54464286
2022,46079,45558,5558,Nazareth College,Waverley Gardens,VIC,3174,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1040,65,20,30,31,18,70,61.6,40,31.1,746,329,417,745.4,0,30,70,0,10.65714286
2022,45346,54785,14785,Wyndham Central Secondary College,Werribee,VIC,3030,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,915,14,64,22,11,3,116,110.4,50,43.8,1343,669,674,1342.9,4,40,60,0,11.57758621
2022,45488,46250,6250,Werribee Secondary College,Werribee,VIC,3030,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1031,61,26,24,28,23,137,120.9,38,31.5,1564,786,778,1558.9,1,71,29,0,11.41605839
2022,46002,40851,851,MacKillop Catholic Regional College,Werribee,VIC,3030,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1052,69,17,32,30,22,149,136.3,90,75.3,1685,855,830,1685,1,37,63,0,11.30872483
2022,50301,68201,28201,Suzanne Cory High School,Werribee,VIC,3030,Government,Secondary,School Single Entity,Individual Reporting,09-Dec,Major Cities,1151,95,3,9,25,63,76,68.2,26,19.3,906,404,502,906,0,91,9,0,11.92105263
2022,45631,47869,7869,Simonds Catholic College,West Melbourne,VIC,3003,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1029,60,29,23,23,25,43,37.6,20,16,410,0,410,410,0,48,52,0,9.534883721
2022,45491,48946,8946,Wheelers Hill Secondary College,Wheelers Hill,VIC,3150,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1025,58,23,35,28,14,58,52.3,22,16.1,700,374,326,698.8,2,20,78,2,12.06896552
2022,40427,46213,6213,Williamstown High School,Williamstown,VIC,3016,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1109,87,8,16,30,46,128,108.5,50,29,1475,697,778,1472.9,1,20,80,1,11.5234375
2022,52698,86069,86068,Prahran High School,Windsor,VIC,3181,Government,Secondary,School Single Entity,Individual Reporting,07-Oct,Major Cities,1093,83,10,17,34,40,38,35.5,17,13.7,420,167,253,420,2,37,63,0,11.05263158
2022,52591,85311,85310,Edgars Creek Secondary College,Wollert,VIC,3750,Government,Secondary,School Single Entity,Individual Reporting,07-Nov,Major Cities,1002,48,33,29,26,12,82,79.6,33,27.5,1004,501,503,1004,1,77,23,0,12.24390244
,,,,,,,,,,,,,,,,,,,,,,,,226516,111785,114731,,,,,,10.70450637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.97674419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
