Calendar_Year,Suburb,State,Postcode,School_Sector,School_Type,Campus_Type,Year_Range,Geolocation,ICSEA,ICSEA_Percentile,Bottom_SEA_Quarter_(%),Lower_Middle_SEA_Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Indigenous_Enrolments_(%),Indigenous_Enrolments,Language_Background_Other_Than_English_Yes_(%),Language_Background_Other_Than_English_No_(%),Language_Background_Other_Than_English_Not Stated_(%)
2022,Mornington,VIC,3932,Catholic,Secondary,School Head Campus,Jul-13,Major Cities,1033,61,21,33,30,16,161,147,102,78,1938,953,985,2,39,7,93,0
2022,Mount Eliza,VIC,3930,Government,Secondary,School Single Entity,07-Dec,Major Cities,1057,71,13,33,30,23,66,52.7,34,24.8,697,338,359,1,7,7,91,2
2022,Mount Waverley,VIC,3150,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1110,86,6,17,33,44,126,110,51,36,1430,975,455,0,0,40,60,1
2022,Mulgrave,VIC,3171,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1031,60,26,27,26,21,136,121,67,50,1598,382,1216,0,0,61,39,0
2022,Narre Warren,VIC,3805,Government,Secondary,School Single Entity,07-Dec,Major Cities,942,22,57,27,12,5,127,116.8,60,46,1364,681,683,1,14,61,39,0
2022,Newcomb,VIC,3219,Government,Secondary,School Head Campus,07-Dec,Major Cities,936,20,57,29,11,2,52,46.4,32,25.8,446,195,251,7,31,7,92,0
2022,Newtown,VIC,3221,Catholic,Secondary,School Head Campus,Jul-13,Major Cities,1083,80,9,25,34,32,140,123,95,72,1623,725,898,1,16,9,91,0
2022,Niddrie,VIC,3042,Government,Secondary,School Single Entity,07-Dec,Major Cities,1020,56,26,34,27,13,102,87.7,23,19.2,1113,522,591,1,11,40,60,0
2022,Noble Park,VIC,3174,Government,Secondary,School Single Entity,07-Dec,Major Cities,903,11,67,17,10,6,43,38.7,29,22.5,451,223,228,1,5,85,15,0
2022,North Geelong,VIC,3215,Government,Secondary,School Single Entity,07-Dec,Major Cities,937,20,56,26,13,5,92,81.8,59,43.9,961,404,557,3,29,33,67,0
2022,North Melbourne,VIC,3051,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1092,82,11,17,34,38,41,37.7,15,12.6,409,409,0,0,0,36,64,0
2022,Northcote,VIC,3071,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1123,90,6,15,29,50,111,97,40,31,1309,831,478,1,13,17,83,1
2022,Nunawading,VIC,3131,Independent,Secondary,School Single Entity,07-Dec,Major Cities,1053,70,18,20,34,28,26,22.5,15,5.7,207,97,110,0,0,52,48,0
2022,Oakleigh,VIC,3166,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1102,85,8,18,34,41,91,80.6,37,29.4,961,961,0,0,0,62,38,0
2022,Oakleigh South,VIC,3167,Government,Secondary,School Single Entity,07-Dec,Major Cities,1039,64,23,29,28,20,69,60.1,28,18.5,698,343,355,0,0,57,42,1
2022,Officer,VIC,3809,Government,Secondary,School Single Entity,07-Dec,Major Cities,1001,47,34,34,22,10,85,79.3,46,35.8,1011,522,489,1,10,26,73,0
2022,Pakenham,VIC,3811,Government,Secondary,School Single Entity,07-Sept,Major Cities,980,38,42,33,17,8,48,46,21,16,514,243,271,2,10,27,72,1
2022,Parkville,VIC,3052,Government,Secondary,School Head Campus,07-Dec,Major Cities,1124,90,8,12,28,53,182,159.9,77,43.8,1759,808,951,1,18,63,36,1
2022,Pascoe Vale,VIC,3044,Government,Secondary,School Single Entity,07-Dec,Major Cities,973,35,46,23,20,11,93,76.4,35,19.9,885,885,0,1,9,83,17,0
2022,Point Cook,VIC,3031,Government,Secondary,School Single Entity,Oct-13,Major Cities,1030,60,25,29,26,20,45,42,21,17,543,236,307,2,11,53,46,1
2022,Port Melbourne,VIC,3207,Government,Secondary,School Single Entity,7,Major Cities,1073,77,12,19,32,37,10,9,7,3.4,81,29,52,4,3,30,68,1
2022,Preston,VIC,3073,Government,Secondary,School Single Entity,07-Nov,Major Cities,1066,72,16,25,27,32,56,50,26,16,525,260,265,2,11,22,76,2
