Calendar_Year,Suburb,State,Postcode,School_Sector,School_Type,Campus_Type,Year_Range,Geolocation,ICSEA,ICSEA_Percentile,Bottom_SEA_Quarter_(%),Lower_Middle_SEA_Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Indigenous_Enrolments_(%),Indigenous_Enrolments,Language_Background_Other_Than_English_Yes_(%),Language_Background_Other_Than_English_No_(%),Language_Background_Other_Than_English_Not Stated_(%)
2022,Clyde,VIC,3978,Government,Secondary,School Single Entity,7,Major Cities,1019,55,27,34,26,13,16,14.7,16,10.5,147,61,86,2,3,52,47,1
2022,Coburg,VIC,3058,Government,Secondary,School Single Entity,07-Dec,Major Cities,1088,81,12,20,30,38,103,93.3,35,30.1,1211,545,666,1,12,24,75,0
2022,Coburg North,VIC,3058,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1028,60,24,33,27,17,44,34.4,23,14.4,390,390,0,0,0,26,74,0
2022,Craigieburn,VIC,3065,Government,Secondary,School Single Entity,07-Oct,Major Cities,943,22,54,26,15,5,71,68,36,32,792,359,433,2,16,70,29,1
2022,Cranbourne,VIC,3978,Catholic,Secondary,School Head Campus,Jul-13,Major Cities,963,32,48,28,16,8,113,106,60,47,1262,621,641,2,25,46,54,0
2022,Cranbourne East,VIC,3977,Government,Secondary,School Single Entity,07-Dec,Major Cities,976,36,42,30,19,8,144,136.1,56,47.1,1829,931,898,1,18,60,39,1
2022,Cranbourne North,VIC,3977,Government,Secondary,School Single Entity,07-Dec,Major Cities,988,41,38,28,22,11,135,125.3,54,46.7,1738,841,897,1,17,58,42,0
2022,Cranbourne West,VIC,3977,Government,Secondary,School Single Entity,07-Aug,Major Cities,979,37,43,29,20,8,42,37.4,35,22.6,469,218,251,2,9,45,53,1
2022,Croydon,VIC,3137,Independent,Secondary,School Single Entity,Jul-13,Major Cities,1015,49,32,21,23,24,74,63,36,29,636,321,315,4,25,13,87,0
2022,Dandenong,VIC,3176,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,945,27,52,25,18,5,105,98,47,43,1065,513,552,1,11,62,38,0
2022,Dandenong North,VIC,3175,Government,Secondary,School Single Entity,07-Dec,Major Cities,913,13,65,20,11,3,89,76.2,42,28.2,823,414,409,1,8,83,17,0
2022,Delahey,VIC,3037,Government,Secondary,School Head Campus,07-Dec,Major Cities,952,26,53,29,14,4,191,170.4,94,71.6,2036,976,1060,1,20,57,43,0
2022,Diamond Creek,VIC,3089,Government,Secondary,School Single Entity,07-Dec,Major Cities,1021,56,24,36,27,14,80,67,20,15.1,762,378,384,2,15,6,89,5
2022,Doncaster,VIC,3108,Government,Secondary,School Single Entity,07-Dec,Major Cities,1064,74,14,28,32,26,106,93.6,46,36.7,1319,627,692,1,13,32,68,0
2022,Doncaster East,VIC,3109,Government,Secondary,School Single Entity,07-Dec,Major Cities,1107,86,7,16,33,44,154,128,53,39.6,1630,752,878,0,0,75,25,0
2022,Donvale,VIC,3111,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1113,88,3,19,35,43,101,93.5,59,47.9,1079,0,1079,1,11,11,89,0
2022,Dromana,VIC,3936,Government,Secondary,School Single Entity,07-Dec,Major Cities,1010,51,30,34,25,11,162,143.4,49,36.8,1819,878,941,2,36,3,97,0
2022,East Geelong,VIC,3219,Government,Secondary,School Single Entity,07-Dec,Major Cities,998,46,35,34,22,9,90,74,41,28.3,931,416,515,2,19,8,92,1
2022,Eltham,VIC,3096,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1104,85,6,20,32,42,105,91,57,34,1116,735,381,1,11,8,91,1
2022,Eltham North,VIC,3095,Government,Secondary,School Single Entity,07-Dec,Major Cities,1062,73,14,29,32,25,132,115.8,34,27.3,1510,744,766,1,15,13,84,3
2022,Elwood,VIC,3184,Government,Secondary,School Single Entity,07-Dec,Major Cities,1105,86,8,18,31,44,71,64.6,33,23.2,795,346,449,1,8,26,72,2
2022,Emerald,VIC,3782,Government,Secondary,School Single Entity,07-Dec,Major Cities,1012,52,27,37,25,12,60,54.3,36,25.3,708,345,363,3,21,4,96,0
2022,Endeavour Hills,VIC,3802,Government,Secondary,School Single Entity,07-Dec,Major Cities,972,34,45,28,19,8,136,124,45,38.4,1472,699,773,1,15,61,39,1
2022,Epping,VIC,3077,Government,Secondary,School Single Entity,Jul-13,Major Cities,990,42,39,30,21,10,118,106,62,52,1174,577,597,2,23,53,45,2
2022,Essendon,VIC,3041,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1091,82,7,23,34,36,97,87,45,38,1168,472,696,0,0,24,76,0
2022,Fawkner,VIC,3060,Government,Secondary,School Head Campus,07-Dec,Major Cities,948,24,56,25,14,5,33,31.4,17,14.2,304,97,207,1,3,64,36,0
2022,Ferntree Gully,VIC,3157,Independent,Secondary,School Single Entity,Oct-13,Major Cities,1020,55,22,35,31,12,43,38,17,14,483,13,470,0,0,5,95,0
2022,Fitzroy,VIC,3065,Catholic,Secondary,School Single Entity,07-Dec,Major Cities,1079,79,13,18,35,35,66,54.2,30,23.7,679,679,0,0,0,35,65,0
2022,Fitzroy North,VIC,3068,Government,Secondary,School Single Entity,07-Dec,Major Cities,1093,83,13,17,27,44,61,49.2,27,19.3,573,269,304,1,6,22,78,0
2022,Flemington,VIC,3031,Government,Secondary,School Head Campus,07-Dec,Major Cities,1065,74,20,19,27,35,52,48.5,26,19.4,628,266,362,1,6,41,50,9
2022,Footscray,VIC,3011,Government,Secondary,School Head Campus,07-Dec,Major Cities,1066,74,18,21,29,33,142,128.5,47,39.8,1400,660,740,1,14,31,67,1
2022,Frankston,VIC,3200,Catholic,Secondary,School Single Entity,Jul-13,Major Cities,1029,59,23,32,29,16,118,105,58,42,1392,660,702,2,28,15,85,0
2022,Frankston North,VIC,3200,Government,Secondary,School Single Entity,07-Dec,Major Cities,910,12,70,21,7,2,39,36.4,36,28.8,325,154,171,8,26,10,87,4
2022,Frankston South,VIC,3199,Government,Secondary,School Head Campus,07-Dec,Major Cities,988,41,39,36,18,7,80,68.8,28,24.6,807,400,407,2,16,7,92,1
2022,Fraser Rise,VIC,3336,Government,Secondary,School Single Entity,07-Dec,Major Cities,1026,59,25,32,28,15,96,89.8,36,29.9,1209,582,627,0,0,61,38,0
2022,Geelong,VIC,3220,Government,Secondary,School Single Entity,07-Dec,Major Cities,1028,59,23,33,26,17,65,52,23,15.2,598,597,1,3,18,14,84,2
2022,Gladstone Park,VIC,3043,Government,Secondary,School Single Entity,07-Dec,Major Cities,993,43,38,32,21,8,137,121.5,38,32.5,1498,721,777,1,15,45,55,0
2022,Glen Waverley,VIC,3151,Government,Secondary,School Single Entity,Jul-13,Major Cities,1102,85,8,17,32,43,134,119,39,27,1585,746,839,0,0,70,30,0
2022,Glenroy,VIC,3046,Government,Secondary,School Single Entity,07-Dec,Major Cities,913,13,68,20,10,3,48,41,26,18.9,436,153,283,2,9,74,26,0
2022,Greensborough,VIC,3088,Government,Secondary,School Head Campus,07-Dec,Major Cities,1005,49,30,33,25,12,51,42.9,20,12.7,447,189,258,5,22,14,85,0
2022,Greenvale,VIC,3060,Government,Secondary,School Single Entity,8,Major Cities,995,44,35,32,22,11,51,49,38,30,618,309,309,2,12,52,48,0
2022,Grovedale,VIC,3216,Government,Secondary,School Single Entity,07-Dec,Major Cities,991,43,39,33,21,7,76,63.2,31,20.3,724,339,385,3,22,5,95,0
